"playerid","year","rank","playerfullname","playerusename","teamabbrev","teamname","leaguename","positionabbrev","position","primarypositionabbrev","plateappearances","totalbases","babip","walksperplateappearance","strikeoutsperplateappearance","homerunsperplateappearance","walksperstrikeout","iso","gamesplayed","runs","doubles","triples","homeruns","strikeouts","baseonballs","hits","avg","atbats","slg","rbi","numberofpitches","pitchesperplateappearance","caughtstealing","stolenbases","stolenbasepercentage","hitbypitch","obp","ops","sacbunts","groundintodoubleplay","sacflies","intentionalwalks","walkoffs","flyouts","totalswings","swingandmisses","ballsinplay","popouts","lineouts","groundouts","groundhits","catchersinterference"
502517,2018,181,"Daniel Murphy","Daniel","CHC","Chicago Cubs","NL","2B","Second Base","2B",351,149,".308","0.057","0.114","0.034","0.5","0.155",91,40,15,0,12,"40.0",20,98,"0.299",328,"0.454","42","1275","3.632","0","3","1","0","0.336","0.79","0","5","3","2","0","55","647","85","291","21","40","77","26","0"
575929,2018,215,"Willson Contreras","Willson","CHC","Chicago Cubs","NL","C","Catcher","C",544,185,".313","0.097","0.222","0.018","0.438","0.141",138,50,27,5,10,"121.0",53,118,"0.249",474,"0.39","54","2120","3.897","1","4","0.8","13","0.339","0.729","2","14","2","2","0","50","1048","295","357","22","28","139","52","0"
450314,2018,231,"Ben Zobrist","Ben","CHC","Chicago Cubs","NL","RF","Outfielder","2B",520,200,".331","0.106","0.115","0.017","0.917","0.134",139,67,28,3,9,"60.0",55,139,"0.305",455,"0.44","58","2018","3.881","4","3","0.429","2","0.378","0.818","1","8","7","1","1","72","824","118","403","14","38","140","60","0"
518792,2018,253,"Jason Heyward","Jason","CHC","Chicago Cubs","NL","RF","Outfielder","RF",489,174,".297","0.086","0.123","0.016","0.7","0.125",127,67,23,4,8,"60.0",42,119,"0.27",440,"0.395","57","1830","3.742","1","1","0.5","2","0.335","0.73","2","7","2","1","1","51","831","140","384","35","36","143","41","1"
623520,2018,287,"David Bote","David","CHC","Chicago Cubs","NL","3B","Third Base","3B",210,75,".314","0.09","0.286","0.029","0.317","0.168",74,23,9,2,6,"60.0",19,44,"0.239",184,"0.408","33","820","3.905","4","3","0.429","4","0.319","0.727","0","3","3","1","3","12","383","128","127","4","11","56","17","0"
546991,2018,315,"Albert Almora Jr.","Albert","CHC","Chicago Cubs","NL","CF","Outfielder","OF",479,168,".337","0.05","0.173","0.01","0.289","0.092",152,62,24,1,5,"83.0",24,127,"0.286",444,"0.378","41","1608","3.357","3","1","0.25","3","0.323","0.701","2","12","6","1","2","48","873","213","369","25","32","137","54","0"
608365,2018,315,"Addison Russell","Addison","CHC","Chicago Cubs","NL","SS","Shortstop","SS",465,143,".314","0.086","0.213","0.011","0.404","0.09",130,52,21,1,5,"99.0",40,105,"0.25",420,"0.34","38","1840","3.957","0","4","1","2","0.317","0.657","1","7","2","2","0","53","876","237","324","24","44","98","41","0"
605170,2018,403,"Victor Caratini","Victor","CHC","Chicago Cubs","NL","C","Catcher","C",200,55,".290","0.06","0.21","0.01","0.286","0.072",76,21,7,0,2,"42.0",12,42,"0.232",181,"0.304","21","794","3.97","0","0",NULL,"4","0.293","0.597","2","5","1","0","0","19","359","79","142","8","15","58","19","0"
430935,2018,445,"Cole Hamels","Cole","CHC","Chicago Cubs","NL","P","Pitcher","P",27,6,".167","0.037","0.444","0.037","0.083","0.12",32,1,0,0,1,"12.0",1,3,"0.12",25,"0.24","1","99","3.667","0","0",NULL,"0","0.154","0.394","1","0","0","0","0","1","49","22","14","1","1","8","2","0"
600303,2018,445,"Tommy La Stella","Tommy","CHC","Chicago Cubs","NL",NULL,NULL,"DH",192,56,".312","0.089","0.141","0.005","0.63","0.065",123,23,8,0,1,"27.0",17,45,"0.266",169,"0.331","19","725","3.776","1","0","0","2","0.34","0.671","0","5","0","1","0","12","329","55","142","10","13","62","13","4"
452657,2018,445,"Jon Lester","Jon","CHC","Chicago Cubs","NL","P","Pitcher","P",65,10,".167","0","0.338","0.015",NULL,"0.051",34,4,0,0,1,"22.0",0,7,"0.119",59,"0.169","9","247","3.8","0","0",NULL,"0","0.119","0.288","6","1","0","0","0","2","106","31","43","3","4","27","4","0"
542914,2018,537,"Anthony Bass","Anthony","CHC","Chicago Cubs","NL","P","Pitcher","P",0,0,NULL,NULL,NULL,NULL,NULL,NULL,16,0,0,0,0,"0.0",0,0,"0",0,"0","0","0",NULL,"0","0",NULL,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
